player_name,age,games,games_played,minutes,minutes_90s,shots,passes,passes_total_distance,tackles,tackles_won,blocks,interceptions,touches,passes_received,fouls,fouled,aerials_won,aerials_lost,n_injuries,n_severe_injuries,currently_injured,position_DF,position_FW,position_GK,position_MF
Khvicha Kvaratskhelia,21.78356164,7,3,329,3.7,5,145,1988,6,4,3,5,182,121,3,5,0,2,7,0,1,0,0,0,1
Khvicha Kvaratskhelia,21.78356164,7,3,329,3.7,5,145,1988,6,4,3,5,182,121,3,5,0,2,7,0,1,0,0,0,1
Khvicha Kvaratskhelia,21.78356164,7,3,329,3.7,5,145,1988,6,4,3,5,182,121,3,5,0,2,7,0,1,0,0,0,1
Khvicha Kvaratskhelia,21.78356164,7,3,329,3.7,5,145,1988,6,4,3,5,182,121,3,5,0,2,7,0,1,0,0,0,1
Alessio Zerbin,34.50136986,14,13,1020,11.3,16,598,9802,30,18,9,12,726,500,14,18,6,4,9,2,0,1,1,0,0
Hirving Lozano,30.06575342,15,13,1065,11.8,14,525,6217,15,11,12,6,613,418,17,4,2,5,15,0,0,1,1,0,0
Matteo Politano,25.08493151,2,0,45,0.5,0,28,362,1,0,0,0,30,21,1,0,0,0,12,1,0,1,1,0,0
Giacomo Raspadori,34.77808219,7,3,247,2.7,5,102,1375,4,2,4,1,132,105,4,3,1,0,15,0,0,0,1,0,0
Victor Osimhen,22.82465753,10,10,849,9.4,30,175,2128,6,3,6,1,277,211,9,13,17,19,4,0,0,0,1,0,0
Giovanni Simeone,22.73972603,13,6,489,5.4,19,99,922,8,6,1,4,171,134,9,11,3,7,15,1,0,0,1,0,0
Mattia Perin,28.73972603,12,7,710,7.9,20,206,2325,5,3,3,0,273,218,10,13,19,31,15,3,0,0,1,0,0
Federico Gatti,34.77534247,15,15,1350,15,0,388,8109,1,1,0,2,402,166,0,0,0,0,4,0,0,0,0,1,0
Leonardo Bonucci,26.60821918,15,15,1193,13.3,7,697,11433,21,11,11,19,792,586,20,10,25,11,6,0,0,1,0,0,0
Daniele Rugani,22.79452055,3,1,44,0.5,0,20,402,0,0,0,0,22,17,0,0,1,1,8,0,0,1,0,0,0
Mattia De Sciglio,33.00821918,15,14,1323,14.7,9,585,9556,9,5,19,24,738,434,8,9,27,13,15,0,0,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Alex Sandro,29.67123288,11,8,737,8.2,3,416,5702,4,3,10,4,490,296,6,7,5,6,15,2,1,1,0,0,0
Danilo,25.04383562,3,1,55,0.6,0,30,392,4,1,5,2,49,14,4,1,1,0,9,0,0,1,0,0,0
Manuel Locatelli,27.78630137,9,7,547,6.1,1,281,3937,18,11,0,6,328,189,2,0,4,1,15,3,0,1,0,0,0
